ID,Business Name,City,Address,Rating,Review Count,Track,Has Website,Website URL,Owner Name,Verified Email,Booking Button,Primary Signal,D1 Sent,D1 Date,Reply,Loom Sent,Paid,Status,Notes
M001,Monaco MedSpa,Miami,2930 NE 2nd Ct,5.0,150,A,Yes,monacomedspa.com,Dr. Jeannette Barrueta,officemanager@monacomedspa.com,No,No Google booking button,No,,No,No,No,ELIGIBLE,Full professional site. Owner is physician.
M002,LUX MedSpa Brickell,Miami,805 S Miami Ave 9th Floor,5.0,2213,A,Yes,luxmedspabrickell.com,Alan Araujo,info@luxmedspabrickell.com,No,2213 reviews / no Google booking button,Yes,2026-05-01,No,No,No,CONTACTED,Sent: Found something on LUX MedSpa Brickell
M003,Miami Surgical MedSpa,Miami,815 NW 57th Ave #207,5.0,529,A,Yes,miamisurgicalmedspa.com,Landy Sam,No email found,No,No booking button,No,,No,No,No,PARKED,Instagram only - no email available
M004,Aviva Medical Spa,Miami,4100 NE 2nd Ave #301,4.7,330,A,Yes,avivamedicalspa.com,Unknown,info@avivamedicalspa.com,Yes,4.7 rating - check unanswered reviews,No,,No,No,No,ELIGIBLE,Has booking via website. Check review quality.
M005,Solea Brickell Spa,Miami,701 S Miami Ave Suite 311A,4.4,304,A,Yes,soleabrickellspa.com,Unknown,info@soleabrickellspa.com,Yes,Unanswered negative reviews on Yelp - call center complaint,No,,No,No,No,ELIGIBLE,PRIORITY - unanswered complaints visible
M006,Mint Wellness Center FL,Miami,5631 Biscayne Blvd,3.6,223,A,Yes,mintwellness.center,Paula Christiansen,hello@mintwellness.center,No,3.6 rating - critical,Yes,2026-05-01,No,No,No,CONTACTED,paula@ and info@ bounced. Sent to hello@
M007,Med Aesthetics Miami,Miami,2020 Ponce de Leon Suite 106,4.8,433,A,Yes,medaestheticsmiami.com,Unknown,Unknown,Yes,Pending audit,No,,No,No,No,PENDING AUDIT,Has booking button - need deeper signal
M008,Dolce Medical Spa Miami,Miami,2929 SW 3rd Ave suite 610,5.0,1093,A,Yes,dolcemedicalspas.com,Unknown,miami@dolcemedicalspas.com,No,ELIMINATED - multi-state franchise,No,,No,No,No,ELIMINATED,Multi-location franchise - not a solo operator
M009,Facial Mania Med Spa,Miami,2711 Biscayne Blvd,4.5,224,A,Yes,facialmania.com,Unknown,Unknown,Yes,4.5 rating - check reviews,No,,No,No,No,PENDING AUDIT,
M010,DermacareMD Brickell,Miami,1250 S Miami Ave Suite 100,4.6,87,A,Yes,dermacaremd.com,Unknown,Unknown,No,Only 87 reviews + 4.6 + no booking button,No,,No,No,No,ELIGIBLE,
M011,Svelta Med Spa,Miami,4950 SW 8th St Suite 200,4.6,65,A,Yes,sveltamedspa.com,Unknown,Unknown,No,Only 65 reviews + no booking button,No,,No,No,No,ELIGIBLE,
M012,Miami Beauty Spa,Miami,2603 NW 20th St,4.3,132,A,Yes,Unknown,Unknown,Unknown,Yes,4.3 rating - check unanswered reviews,No,,No,No,No,PENDING AUDIT,
M013,Brickell Cosmetic Center,Miami,2730 SW 3rd Ave Ste 100,4.6,425,A,Yes,brickellcosmetic.com,Julie Pernas,No email - form only,No,4.6 + no booking button,No,,No,No,No,PARKED,No public email available
A001,Austin Med Spa,Austin,1611 W 6th St,4.9,197,A,Yes,austinmedspa.com,Suzette,suzette@austinmedspa.com,No,No booking button / 197 reviews,Yes,2026-05-01,No,No,No,CONTACTED,Sent: Found something on Austin Med Spa
